🔵🌙 Crater Version: 1.0.102
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ui_background.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_FRUIT01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Overhang01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Insp.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/chain2.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Insp00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_House01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Road01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Education01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/OVERHANG_CHAIN03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Food00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS08.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_THEATER.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/foundation.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PILLAR_BookEndTop.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Social.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_HOUSE03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small07.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small06.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_HOUSE02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Garden01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small04.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small05.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_HOUSE01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Base1.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ARCHITOWER_Logo.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/OVERHANG_HOOK.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_HOUSE04.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/levels.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Joy00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_LIBRARY01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_FARM01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Base2.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Entertainment01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_small03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_COMMERCE01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_education.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_platform.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_monument.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_chain.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l0_house.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l0_garden.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_theater.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_decoration.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_bridge.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_shop.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_garden.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_farm.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/blueprints/blueprint_l1_house.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_chain.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration9.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration10.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden5.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_theater.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration5.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_house4.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration4.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden4.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration11.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration8.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden8.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden_tree.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden3.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_platform2.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_house2.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration3.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_library.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_monument.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_house3.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration2.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden2.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_platform.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_chain2.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_farm.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_house.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration7.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden7.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_garden6.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_foundation.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_decoration6.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/plans/plan_shop.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambience_store.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/other1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambience_entertainment.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/house3.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/brick3.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/music_zoomout.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambient_birds.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambient_ocean.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/brick2.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/house2.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/groundwater.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/brick1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/house1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ui_button.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/music_zoomin.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/gen3.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/gen2.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/gen1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/monument.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambience_fountain.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/gen5.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/gen4.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant6.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/music_neutral.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant5.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/sfx_cutscene.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/sound attribution.txt
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant4.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambient_house.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/chain2.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/ambience_farm.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant3.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/chain1.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/sounds/plant2.ogg
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_platform.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_entertainment.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_education.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_commerce.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_chain.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_decor.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_bridge.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_farm.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_garden.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_house.json
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/stats/stats_monument.json
🔵💥 Deleting file .build/osx-arm64/.DS_Store
🔵💥 Deleting file .build/win-x64/.DS_Store
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Knowledge.png
🔵💥 Deleting file .build/win-x64/Resource/Clouds01.png
🔵💥 Deleting file .build/win-x64/Resource/Clouds03.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PILLAR.png
🔵💥 Deleting file .build/win-x64/Resource/ftue_arrow.png
🔵💥 Deleting file .build/win-x64/Resource/Clouds02.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Platform01.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Joy.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Decor01.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Commerce00.png
🔵💥 Deleting file .build/win-x64/Resource/MONUMENT04.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PILLAR_BookEndBottom.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Commerce.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLTFRM03.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLTFRM02.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Food.png
🔵💥 Deleting file .build/win-x64/Resource/MONUMENT01.png
🔵💥 Deleting file .build/win-x64/Resource/MONUMENT03.png
🔵💥 Deleting file .build/win-x64/Resource/Clouds05.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Knowledge00.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLTFRM01.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PALM01.png
🔵💥 Deleting file .build/win-x64/Resource/Clouds04.png
🔵💥 Deleting file .build/win-x64/Resource/MONUMENT02.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Social00.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_MONUMENT.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS04.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_BIG01.png
🔵💥 Deleting file .build/win-x64/Resource/chain.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS05.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS07.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_BIG02.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_BIG03.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS06.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Farm01.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS02.png
🔵💥 Deleting file .build/win-x64/Resource/circle.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Commerce01.png
🔵💥 Deleting file .build/win-x64/Resource/ui_background.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS03.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_FRUIT01.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS01.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Overhang01.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Insp.png
🔵💥 Deleting file .build/win-x64/Resource/chain2.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Insp00.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_House01.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Road01.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Education01.png
🔵💥 Deleting file .build/win-x64/Resource/OVERHANG_CHAIN03.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Food00.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PLANTERS08.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_THEATER.png
🔵💥 Deleting file .build/win-x64/Resource/foundation.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_PILLAR_BookEndTop.png
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Social.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_HOUSE03.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small07.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small06.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_HOUSE02.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Garden01.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small04.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small05.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_HOUSE01.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Base1.png
🔵💥 Deleting file .build/win-x64/Resource/ARCHITOWER_Logo.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small01.png
🔵💥 Deleting file .build/win-x64/Resource/OVERHANG_HOOK.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_HOUSE04.png
🔵💥 Deleting file .build/win-x64/Resource/levels.json
🔵💥 Deleting file .build/win-x64/Resource/ICONS_Joy00.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_LIBRARY01.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_FARM01.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Base2.png
🔵💥 Deleting file .build/win-x64/Resource/BUTTONS_Entertainment01.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small02.png
🔵💥 Deleting file .build/win-x64/Resource/DECOR_small03.png
🔵💥 Deleting file .build/win-x64/Resource/LVL01_COMMERCE01.png
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_education.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_platform.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_monument.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_chain.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l0_house.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l0_garden.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_theater.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_decoration.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_bridge.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_shop.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_garden.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_farm.json
🔵💥 Deleting file .build/win-x64/Resource/blueprints/blueprint_l1_house.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_chain.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration9.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration10.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden5.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_theater.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration5.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_house4.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration4.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden4.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration11.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration8.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden8.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden_tree.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden3.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_platform2.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_house2.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration3.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_library.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_monument.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_house3.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration2.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden2.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_platform.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_chain2.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_farm.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_house.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration7.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden7.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_garden6.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_foundation.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_decoration6.json
🔵💥 Deleting file .build/win-x64/Resource/plans/plan_shop.json
🔵💥 Deleting file .build/win-x64/Resource/sounds/ambience_store.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/other1.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/ambience_entertainment.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/house3.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/brick3.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/music_zoomout.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/ambient_birds.ogg
🔵💥 Deleting file .build/win-x64/Resource/sounds/ambient_ocean.ogg
